vin,year,make,model,trim,type,damage,price,odometer,lot,date,location,state,source,repair_cost,url,matched_url,price_source
3VWDP7AJ4DM358666,2013,Volkswagen,Jetta Se Vin: 3Vwdp7Aj4Dm358666,,Coupe,Front End,850,9270 mi,,14.12.2016,,,Copart,,,,
[PREMIUM],2020,Mercedes-Benz,Glc-Class,300,SC,Front End,0,9195,97510485,2026-04-15,CA - MENTONE,CA,,26717.0,[PREMIUM],,
[PREMIUM],2018,Mercedes-Benz,C-Class,300,SC,Rear End,0,71305,79949555,,CA - MENTONE,CA,,12529.0,[PREMIUM],,
[PREMIUM],2025,Honda,Civic,SPORT,SC,Rear End,0,15825,79456945,2026-04-15,CA - MENTONE,CA,,22522.0,[PREMIUM],,
[PREMIUM],2017,Audi,Q7,PRESTIGE,SC,Burn - Engine,0,87219,79239735,,CA - MENTONE,CA,,0.0,[PREMIUM],,
[PREMIUM],2023,Ford,Mustang,SELECT,SC,Front End,0,93285,78670385,,CA - MENTONE,CA,,22047.0,[PREMIUM],,
[PREMIUM],2019,Volkswagen,Jetta,S,SC,Front End,0,130299,78364385,,CA - MENTONE,CA,,8424.0,[PREMIUM],,
[PREMIUM],2023,Hyundai,Tucson,SEL,SC,Rear End,0,25972,78107065,,CA - MENTONE,CA,,0.0,[PREMIUM],,
[PREMIUM],2015,Volkswagen,Jetta,BASE,SC,Undercarriage,0,141607,76987485,,CA - MENTONE,CA,,4704.0,[PREMIUM],,
[PREMIUM],2016,Kia,Soul,+,DY,Mechanical,0,149678,75704305,2026-04-22,CA - MENTONE,CA,,0.0,[PREMIUM],,
[PREMIUM],2023,Nissan,Rogue,SL,SC,Front End,0,104036,75414265,,CA - MENTONE,CA,,18521.0,[PREMIUM],,
[PREMIUM],2020,Hyundai,Elantra,SEL,SC,Front End,0,103988,75311105,,CA - MENTONE,CA,,11408.0,[PREMIUM],,
[PREMIUM],2024,Honda,Crv,SPORT-L,SC,Front End,0,23417,74382845,,CA - MENTONE,CA,,26564.0,[PREMIUM],,
[PREMIUM],2018,Hyundai,Elantra,VALUE EDITION,SC,Rear End,0,157857,48251786,2026-04-15,CA - MENTONE,CA,,9993.0,[PREMIUM],,
[PREMIUM],2015,Kia,Optima,LX,SC,Rear End,0,173927,48170966,2026-04-15,CA - MENTONE,CA,,6938.0,[PREMIUM],,
[PREMIUM],2023,Cadillac,Xt5,PREMIUM LUXURY,SC,Front End,0,43779,47773946,2026-04-15,CA - MENTONE,CA,,20937.0,[PREMIUM],,
